This flight happened on: Wed Jan 11 02:48:28 2023

acc_x |acc_y|acc_z| roll |pitch| yaw | x_vel|y_vel|z_vel|  X   | Y   |  Z  |
+0.61 |-0.04 |+9.86 |-1.45|-0.27|+0.19|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.46 |+0.01 |+9.78 |-1.45|-0.27|+0.18|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.68 |-0.04 |+9.78 |-1.45|-0.28|+0.18|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.63 |+0.08 |+9.80 |-1.45|-0.28|+0.17|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.58 |+0.02 |+9.75 |-1.45|-0.29|+0.16|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.61 |-0.00 |+9.68 |-1.44|-0.29|+0.16|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.55 |+0.08 |+9.68 |-1.44|-0.30|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.61 |-0.02 |+9.84 |-1.44|-0.28|+0.17|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.65 |-0.04 |+9.77 |-1.44|-0.29|+0.16|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.57 |+0.01 |+9.61 |-1.44|-0.32|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.71 |-0.13 |+9.64 |-1.43|-0.31|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.58 |-0.00 |+9.71 |-1.42|-0.29|+0.16|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.85 |-0.02 |+9.58 |-1.37|-0.28|+0.17|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.56 |-0.13 |+9.68 |-1.28|-0.24|+0.20|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+1.13 |-0.21 |+8.98 |-1.13|-0.21|+0.21|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.07 |-0.38 |+10.04 |-0.99|-0.20|+0.20|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.74 |-0.11 |+10.16 |-0.82|-0.17|+0.20|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.73 |-0.01 |+9.34 |-0.65|-0.16|+0.17|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

+0.18 |+0.41 |+9.15 |-0.51|-0.14|+0.15|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.12 |+0.28 |+10.05 |-0.42|-0.10|+0.14|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

-0.08 |+0.15 |+9.42 |-0.34|-0.09|+0.13|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|

